tag,maxh,status,n_solids,n_faces,linear_nodes,tets,gen_time_s
attempt41_hull,3.0,ok,1,34,9695,28339,1.54
attempt41_hull,2.0,ok,1,34,23973,78237,4.25
attempt41_hull,1.8,ok,1,34,29310,95301,8.52
attempt41_star,3.0,ok,1,38,9740,28476,1.62
attempt41_star,2.0,ok,1,38,24008,78331,4.35
attempt41_star,1.8,ok,1,38,29376,95561,5.22
attempt42_hull,3.0,ok,1,30,9644,28132,1.51
attempt42_hull,2.0,ok,1,30,23678,77313,4.21
attempt42_hull,1.8,ok,1,30,29071,94555,5.11
attempt42_star,3.0,ok,1,42,9724,28210,1.55
attempt42_star,2.0,ok,1,42,23780,77228,4.3
attempt42_star,1.8,ok,1,42,29089,94239,8.64
attempt43_hull,3.0,ok,1,42,9633,28136,1.69
attempt43_hull,2.0,ok,1,42,23659,77335,4.33
attempt43_hull,1.8,ok,1,42,28826,93861,5.15
attempt43_star,3.0,ok,1,46,9712,28391,1.57
attempt43_star,2.0,ok,1,46,23783,77722,4.41
attempt43_star,1.8,ok,1,46,29028,94491,5.18
attempt44_hull,3.0,ok,1,42,9747,28521,1.64
attempt44_hull,2.0,ok,1,42,23782,77784,4.32
attempt44_hull,1.8,ok,1,42,29080,94580,8.62
attempt44_star,3.0,ok,1,50,9595,27984,1.56
attempt44_star,2.0,ok,1,50,23628,77100,4.24
attempt44_star,1.8,ok,1,50,29018,94341,5.33
attempt45_hull,3.0,ok,1,42,9635,28210,1.55
attempt45_hull,2.0,ok,1,42,23744,77701,4.2
attempt45_hull,1.8,ok,1,42,29051,94543,5.22
attempt45_star,3.0,ok,1,54,9730,28384,1.59
attempt45_star,2.0,ok,1,54,23744,77432,7.62
attempt45_star,1.8,ok,1,54,29192,94851,5.47
attempt46_hull,3.0,ok,1,42,9705,28412,1.55
attempt46_hull,2.0,ok,1,42,23622,77227,4.23
attempt46_hull,1.8,ok,1,42,28886,94102,5.17
attempt46_star,3.0,ok,1,58,9809,28565,1.67
attempt46_star,2.0,ok,1,58,23722,77288,4.3
attempt46_star,1.8,ok,1,58,29011,94181,5.27
attempt48_hull,3.0,ok,1,42,9598,28123,1.56
attempt48_hull,2.0,ok,1,42,23411,76609,7.67
attempt48_hull,1.8,ok,1,42,28695,93510,5.25
attempt49_hull,3.0,ok,1,34,9801,28677,1.57
attempt49_hull,2.0,ok,1,34,23884,77962,4.28
attempt49_hull,1.8,ok,1,34,29038,94447,5.16
attempt49_star,3.0,ok,1,38,9567,27973,1.55
attempt49_star,2.0,ok,1,38,23731,77509,4.28
attempt49_star,1.8,ok,1,38,29140,94736,5.2
attempt4_hull,3.0,ok,1,38,9554,27911,4.72
attempt4_hull,2.0,ok,1,38,23758,77560,4.4
attempt4_hull,1.8,ok,1,38,29068,94541,5.24
attempt4_star,3.0,ok,1,50,9717,28279,1.56
attempt4_star,2.0,ok,1,50,23805,77536,4.37
